"Seq","Cluster","RA_ICRS","s_RA_ICRS","DE_ICRS","s_DE_ICRS","GLON","s_GLON","GLAT","s_GLAT","plx","s_plx","pmRA","s_pmRA","pmDE","s_pmDE","RV","s_RV","Nmemb","NmembRV","Flag","logAge","Dist","AV","_RA.icrs","_DE.icrs"
116,"UBC1117",311.46,0.13,46.76,0.06,85.92,0.08,2.31,0.08,0.35,0.02,-2.63,0.11,-4.15,0.1,"      ","     ",51,0," ",6.866,3074,1.706,311.46,46.76
117,"UBC1118",316.07,0.12,44.35,0.09,86.17,0.09,-1.71,0.09,0.4,0.03,-2.25,0.08,-3.42,0.09,-20.39,"     ",191,1,"a",8.287,2524,2.223,316.07,44.35
118,"UBC1119",315.01,0.09,45.35,0.06,86.42,0.06,-0.48,0.06,0.5,0.01,-2.48,0.07,-4.55,0.08,"      ","     ",26,0," ",7.866,1993,1.309,315.01,45.35
119,"UBC1120",315.88,0.11,45.3,0.08,86.78,0.1,-0.97,0.05,0.48,0.01,-2.51,0.06,-3.63,0.04,"      ","     ",17,0," ",7.647,2142,1.318,315.88,45.3
120,"UBC1121",313.65,0.12,47.04,0.07,87.08,0.07,1.33,0.07,0.29,0.02,-4.09,0.08,-4.71,0.09,6.78,"     ",47,1," ",8.783,3746,2.079,313.65,47.04
121,"UBC1122",312.91,0.11,47.8,0.1,87.35,0.11,2.2,0.06,0.33,0.02,-2.69,0.07,-3.79,0.11,-2.22,"     ",50,1," ",6.87,3661,2.178,312.91,47.8
122,"UBC1123",316.09,0.03,46.38,0.05,87.69,0.05,-0.36,0.03,0.4,0.01,-3.14,0.04,-4.88,0.04,"      ","     ",11,0," ",8.339,2736,0.265,316.09,46.38
123,"UBC1124",312.29,0.04,48.72,0.03,87.8,0.03,3.11,0.03,0.45,0.02,-3.2,0.09,-5.44,0.09,"      ","     ",18,0," ",7.957,2363,1.822,312.29,48.72
124,"UBC1125",316.28,0.11,46.42,0.07,87.81,0.08,-0.43,0.07,0.29,0.03,-4.13,0.07,-4.75,0.09,-31.01,"     ",55,1," ",7.721,3315,0.908,316.28,46.42
125,"UBC1126",315.94,0.05,46.99,0.03,88.07,0.04,0.12,0.02,0.15,0.03,-2.52,0.07,-3.69,0.06,"      ","     ",36,0,"a",8.62,6661,3.055,315.94,46.99
